                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                   2.57,                 2.0247,                 2.6056,                0.00296,                0.16935,                0.00177,                0.00055,                 4.2819,                 3.7168,                 3.9802,             0.00093966,             0.00093966,             0.00093966
                     38,                 2.4605,                 2.1614,                  2.686,                0.00286,                0.16935,                0.00174,                0.00057,                 4.2586,                 3.6995,                 3.9474,             0.00095055,             0.00095055,             0.00095055
                     39,                  2.457,                 2.0634,                   2.51,                0.00277,                0.16935,                0.00169,                0.00053,                 4.2968,                 3.6717,                 3.9365,             0.00096065,             0.00096065,             0.00096065
                     40,                 2.3751,                 1.9561,                 2.4238,                0.00277,                0.16935,                0.00169,                0.00053,                 4.2968,                 3.6717,                 3.9365,             0.00096996,             0.00096996,             0.00096996
                     41,                 2.3332,                 1.9053,                 2.3023,                0.00273,                0.16935,                0.00181,                0.00057,                 4.3111,                 3.6093,                 3.9184,             0.00097848,             0.00097848,             0.00097848
                     42,                  2.391,                 2.0731,                  2.305,                0.00261,                0.16129,                0.00194,                 0.0007,                 4.2717,                 3.5527,                 3.8743,             0.00098621,             0.00098621,             0.00098621
                     43,                 2.2128,                 1.8956,                 2.2184,                0.00261,                0.16129,                0.00194,                 0.0007,                 4.2717,                 3.5527,                 3.8743,             0.00099314,             0.00099314,             0.00099314
                     44,                 2.1853,                 1.9071,                 2.4414,                0.00249,                0.15323,                0.00179,                0.00061,                 4.4079,                 3.6059,                 3.9369,             0.00099928,             0.00099928,             0.00099928
                     45,                 2.2624,                 1.7851,                 2.3691,                0.00249,                0.15323,                0.00179,                0.00061,                 4.4079,                 3.6059,                 3.9369,              0.0010046,              0.0010046,              0.0010046
                     46,                 2.1687,                 1.7894,                 2.2558,                0.00272,                0.15323,                0.00179,                0.00053,                 4.5127,                 3.7366,                 3.9974,              0.0010092,              0.0010092,              0.0010092
                     47,                 2.1653,                   1.74,                 2.2903,                0.00272,                0.15323,                0.00179,                0.00053,                 4.5127,                 3.7366,                 3.9974,               0.001013,               0.001013,               0.001013
                     48,                 2.0735,                 1.6952,                 2.1726,                0.00168,                0.08871,                0.00096,                0.00022,                 4.4643,                 3.8126,                 3.9537,              0.0010159,              0.0010159,              0.0010159
